applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Engineering - Civil and Structural,2,3.72,Engineering - Civil and Structural,1,796.09,305.28,0,0,8.14,1,0
Modern Languages,5,2.48,"Theology, Divinity and Religious Studies",0,0,192.8,1,0,0,1,1
Geophysics,10,3.32,Geophysics,1,0,308.7,0,0,7.38,1,1
Business and Management Studies,10,3.65,Materials Sciences,1,763.28,0,1,0,0,1,0
English Language and Literature,5,3.86,Computer Science and Information Systems,1,0,328.85,0,0,6.4,1,1
Engineering - Petroleum,0,3.49,Archaeology,1,745.99,326.95,1,0,0,0,0
Materials Sciences,3,3.48,Materials Sciences,1,726.13,0,1,0,0,1,1
Statistics and Operational Research,0,3.46,Statistics and Operational Research,0,713.12,333.16,0,97.41,0,1,1
Education and Training,10,3.43,Chemistry,1,0,302.53,0,0,8.9,0,1
Data Science,3,3.37,Data Science,1,765.5,323.5,1,0,0,1,1
Communication and Media Studies,10,3.89,Communication and Media Studies,1,0,323.55,1,0,0,1,1
Law and Legal Studies,6,3.81,Law and Legal Studies,1,724.67,0,0,0,6.16,0,1
Social Sciences and Management,2,3.54,Social Sciences and Management,0,700.55,0,1,0,0,1,1
Computer Science and Information Systems,3,3.18,Computer Science and Information Systems,1,0,332.9,0,0,8.59,1,0
Mathematics,4,3.51,Mathematics,1,768.17,317.58,1,0,0,1,0
Sociology,7,3.28,Philosophy,1,763.23,0,0,95.11,0,0,1
Biological Sciences,1,3.46,Social Policy and Administration,1,782.44,0,1,0,0,0,1
Engineering - Mineral and Mining,4,3.2,Engineering - Mineral and Mining,0,0,322.24,1,0,0,1,0
Education and Training,9,3.57,Education and Training,1,775.66,0,0,0,6.59,1,1
Earth and Marine Sciences,10,3.17,Earth and Marine Sciences,1,0,338.89,1,0,0,1,1
Computer Science and Information Systems,3,3.45,Computer Science and Information Systems,1,0,320.58,0,0,6.81,0,1
Geophysics,1,3.72,Geophysics,1,0,313.1,1,0,0,1,1
Engineering - Petroleum,4,3.59,Engineering - Petroleum,1,771.36,0,0,0,6.91,1,1
Life Sciences and Medicine,4,3.65,Life Sciences and Medicine,1,754.45,325.54,1,0,0,0,1
Geology,8,3.66,Art and Design,1,0,339.5,0,86.98,0,0,0
Life Sciences and Medicine,5,3.04,Social Policy and Administration,0,619.74,0,0,0,6.99,0,0
Modern Languages,2,2.51,Veterinary Science,1,0,226.09,1,0,0,0,1
Agriculture and Forestry,3,2.28,Modern Languages,0,0,218.61,0,0,8.07,0,0
Materials Sciences,4,2.14,History,0,555.17,206.01,0,87.93,0,1,0
Medicine,3,3.94,Medicine,1,767.54,0,0,84.61,0,1,1
Performing Arts,1,2.01,Psychology,0,347.47,227.04,0,0,6.8,0,0
Marketing,6,3.56,Marketing,1,0,326.83,0,0,6.78,1,1
Engineering - Mechanical,5,2.67,Mathematics,0,0,191.72,1,0,0,0,1
Linguistics,2,3.61,Linguistics,0,798.58,0,1,0,0,0,1
English Language and Literature,7,3.54,English Language and Literature,0,734.18,336.16,1,0,0,1,1
